* S              BETX           BETY           DX             NAME            
$ %e             %e             %e             %e             %16s            
@ XIY              %e   -.118682    
@ XIX              %e   0.433549E-01
@ QY               %e    2.97407    
@ QX               %e    2.33312    
@ CIRCUM           %le     19.7857999207    
@ DELTA            %e    0.00000    
@ TYPE             %08s "OPTICS"
@ COMMENT          %04s " "
@ ORIGIN           %28s "MAD 8.23dl  Windows NT 4.0"
@ DATE             %08s "09/04/18"
@ TIME             %08s "15.17.50"
     9.47493        34.0593        81.5697        0.00000     "LA_HOM07_1"    
     9.47493        34.0593        81.5697        0.00000     "COLLIMATOR_N38"
     9.52493        34.3481        82.6449        0.00000     "LA_TAP02_1"    
     9.52493        34.3481        82.6449        0.00000     "COLLIMATOR_N39"
     10.1689        38.1905        97.1278        0.00000     "LA_PIP26_1"    
     10.1689        38.1905        97.1278        0.00000     "COLLIMATOR_N40"
     10.2439        38.6527        98.8912        0.00000     "LA_GAT02_1"    
     10.2439        38.6527        98.8912        0.00000     "COLLIMATOR_N41"
     10.6390        41.1387        108.445        0.00000     "LA_PIP27_1"    
     10.6390        41.1387        108.445        0.00000     "COLLIMATOR_N42"
     10.6336        41.1039        108.311        0.00000     "LA_PIP28_1"    
     10.6336        41.1039        108.311        0.00000     "COLLIMATOR_N43"
     10.6336        41.1039        108.311        0.00000     "LA_MAR_END_1009
     10.6569        41.2534        108.889        0.00000     "LA_FLA02_1"    
     10.6569        41.2534        108.889        0.00000     "COLLIMATOR_N44"
     10.6569        41.2534        108.889        0.00000     "LA_CRMOD_MA1010
     10.6569        41.2534        108.889        0.00000     "COLLIMATOR_N45"
     10.6900        41.4654        109.709        0.00000     "LA_PIP99_1_1"  
     10.6900        41.4654        109.709        0.00000     "ID1BPC01_1"    
     10.7761        42.0210        111.863        0.00000     "LA_PIP99_1_2"  
     10.8871        42.7430        114.670        0.00000     "LA_PIP99_LA1011
     10.8975        42.8113        114.936        0.00000     "LA_PIP99_1_3"  
     10.9475        43.1390        116.213        0.00000     "LA_PIP99_LA1012
